Month;Monthly precipitation (mm), Philadelphia, 1850-1950
1871-10;123.4
1871-11;109.0
1871-12;57.4
1872-01;37.8
1872-02;50.4
1872-03;93.2
1872-04;66.0
1872-05;80.0
1872-06;109.0
1872-07;233.7
1872-08;198.4
1872-09;93.0
1872-10;132.1
1872-11;87.1
1872-12;69.6
1873-01;148.3
1873-02;120.7
1873-03;52.1
1873-04;89.2
1873-05;148.1
1873-06;111.5
1873-07;127.0
1873-08;291.8
1873-09;92.2
1873-10;147.3
1873-11;129.5
1873-12;35.1
1874-01;116.3
1874-02;62.5
1874-03;54.9
1874-04;247.9
1874-05;69.9
1874-06;75.2
1874-07;57.2
1874-08;143.5
1874-09;152.7
1874-10;72.9
1874-11;58.9
1874-12;63.0
1875-01;71.9
1875-02;81.3
1875-03;78.7
1875-04;71.9
1875-05;34.5
1875-06;104.9
1875-07;92.2
1875-08;163.1
1875-09;64.3
1875-10;36.1
1875-11;137.2
1875-12;85.6
1876-01;38.6
1876-02;127.8
1876-03;170.4
1876-04;54.9
1876-05;113.0
1876-06;58.2
1876-07;145.0
1876-08;130.6
1876-09;222.8
1876-10;190.5
1876-11;185.7
1876-12;35.6
1877-01;66.5
1877-02;70.5
1877-03;86.4
1877-04;67.6
1877-05;90.3
1877-06;132.6
1877-07;140.5
1877-08;100.7
1877-09;69.6
1877-10;165.6
1877-11;130.6
1877-12;110.4
1878-01;100.1
1878-02;41.7
1878-03;73.4
1878-04;64.8
1878-05;83.6
1878-06;93.0
1878-07;110.5
1878-08;97.3
1878-09;68.9
1878-10;51.8
1878-11;55.6
1878-12;81.0
1879-01;69.3
1879-02;30.2
1879-03;57.9
1879-04;106.9
1879-05;31.0
1879-06;172.0
1879-07;92.2
1879-08;181.1
1879-09;160.4
1879-10;122.6
1879-11;35.1
1879-12;119.1
1880-01;38.4
1880-02;61.7
1880-03;89.7
1880-04;61.7
1880-05;59.3
1880-06;42.4
1880-07;196.6
1880-08;129.3
1880-09;111.6
1880-10;44.2
1880-11;44.5
1880-12;102.9
1881-01;93.0
1881-02;120.9
1881-03;97.3
1881-04;90.4
1881-05;68.8
1881-06;98.3
1881-07;50.3
1881-08;30.0
1881-09;40.5
1881-10;77.2
1881-11;51.3
1881-12;66.8
1882-01;116.1
1882-02;107.2
1882-03;90.7
1882-04;53.8
1882-05;128.5
1882-06;48.3
1882-07;34.8
1882-08;162.6
1882-09;307.1
1882-10;33.5
1882-11;46.8
1882-12;50.0
1883-01;104.9
1883-02;128.0
1883-03;51.3
1883-04;62.0
1883-05;48.5
1883-06;150.1
1883-07;45.2
1883-08;86.4
1883-09;107.7
1883-10;106.7
1883-11;34.0
1883-12;70.1
1884-01;138.7
1884-02;144.8
1884-03;119.4
1884-04;41.4
1884-05;86.1
1884-06;76.2
1884-07;97.3
1884-08;109.2
1884-09;50.2
1884-10;39.1
1884-11;58.7
1884-12;83.3
1885-01;74.2
1885-02;70.9
1885-03;69.2
1885-04;64.5
1885-05;95.5
1885-06;77.2
1885-07;60.7
1885-08;172.7
1885-09;140.4
1885-10;84.6
1885-11;85.1
1885-12;72.9
1886-01;93.7
1886-02;117.3
1886-03;80.5
1886-04;68.6
1886-05;114.3
1886-06;72.6
1886-07;107.4
1886-08;35.1
1886-09;33.4
1886-10;48.0
1886-11;99.3
1886-12;78.5
1887-01;82.0
1887-02;112.5
1887-03;65.8
1887-04;50.8
1887-05;80.4
1887-06;173.0
1887-07;181.4
1887-08;58.7
1887-09;125.0
1887-10;42.7
1887-11;35.1
1887-12;128.5
1888-01;109.2
1888-02;65.3
1888-03;137.7
1888-04;53.3
1888-05;87.9
1888-06;88.2
1888-07;85.9
1888-08;148.8
1888-09;145.5
1888-10;82.0
1888-11;95.8
1888-12;80.0
1889-01;95.3
1889-02;50.8
1889-03;65.5
1889-04;80.5
1889-05;109.7
1889-06;86.1
1889-07;210.6
1889-08;179.6
1889-09;118.4
1889-10;95.5
1889-11;171.7
1889-12;140.4
1890-01;46.5
1890-02;86.1
1890-03;117.1
1890-04;57.9
1890-05;75.2
1890-06;33.0
1890-07;102.4
1890-08;85.3
1890-09;58.7
1890-10;122.4
1890-11;70.2
1890-12;59.2
1891-01;92.7
1891-02;119.6
1891-03;112.3
1891-04;59.4
1891-05;44.2
1891-06;63.8
1891-07;118.1
1891-08;107.2
1891-09;48.3
1891-10;65.3
1891-11;43.2
1891-12;96.0
1892-01;113.8
1892-02;100.0
1892-03;109.7
1892-04;51.6
1892-05;130.0
1892-06;50.3
1892-07;75.4
1892-08;69.6
1892-09;52.3
1892-10;70.4
1892-11;145.0
1892-12;53.1
1893-01;65.5
1893-02;123.2
1893-03;65.3
1893-04;113.5
1893-05;74.2
1893-06;78.0
1893-07;51.8
1893-08;61.7
1893-09;95.5
1893-10;84.3
1893-11;63.8
1893-12;79.5
1894-01;45.2
1894-02;78.0
1894-03;36.8
1894-04;75.9
1894-05;240.3
1894-06;41.4
1894-07;50.0
1894-08;54.6
1894-09;129.8
1894-10;118.4
1894-11;82.8
1894-12;102.4
1895-01;114.8
1895-02;35.3
1895-03;66.3
1895-04;156.0
1895-05;43.7
1895-06;80.0
1895-07;82.0
1895-08;15.0
1895-09;50.0
1895-10;75.4
1895-11;58.9
1895-12;44.7
1896-01;39.9
1896-02;174.5
1896-03;104.4
1896-04;30.2
1896-05;57.7
1896-06;103.4
1896-07;83.1
1896-08;70.0
1896-09;70.1
1896-10;52.8
1896-11;63.5
1896-12;58.3
1897-01;55.1
1897-02;75.4
1897-03;51.6
1897-04;77.0
1897-05;110.0
1897-06;115.1
1897-07;195.6
1897-08;89.4
1897-09;50.0
1897-10;43.2
1897-11;112.8
1897-12;114.8
1898-01;104.1
1898-02;71.1
1898-03;77.5
1898-04;74.4
1898-05;122.9
1898-06;44.5
1898-07;92.2
1898-08;230.1
1898-09;46.2
1898-10;123.2
1898-11;182.6
1898-12;81.5
1899-01;101.9
1899-02;157.5
1899-03;164.3
1899-04;70.0
1899-05;58.4
1899-06;69.2
1899-07;119.1
1899-08;131.6
1899-09;93.0
1899-10;50.3
1899-11;49.0
1899-12;35.8
1900-01;84.8
1900-02;94.2
1900-03;79.5
1900-04;49.3
1900-05;104.4
1900-06;71.6
1900-07;70.4
1900-08;100.3
1900-09;160.3
1900-10;76.2
1900-11;86.9
1900-12;61.2
1901-01;62.7
1901-02;70.3
1901-03;86.1
1901-04;121.2
1901-05;102.9
1901-06;29.2
1901-07;124.0
1901-08;239.3
1901-09;93.5
1901-10;38.4
1901-11;67.1
1901-12;170.7
1902-01;70.4
1902-02;139.4
1902-03;100.8
1902-04;83.6
1902-05;51.1
1902-06;154.4
1902-07;89.2
1902-08;59.4
1902-09;126.2
1902-10;169.2
1902-11;51.8
1902-12;168.4
1903-01;89.4
1903-02;109.0
1903-03;111.3
1903-04;76.2
1903-05;100.4
1903-06;139.2
1903-07;97.5
1903-08;141.5
1903-09;58.7
1903-10;98.0
1903-11;93.2
1903-12;83.6
1904-01;79.8
1904-02;56.1
1904-03;82.3
1904-04;48.0
1904-05;52.8
1904-06;73.2
1904-07;97.0
1904-08;112.5
1904-09;183.1
1904-10;102.4
1904-11;64.8
1904-12;57.9
1905-01;79.2
1905-02;65.0
1905-03;106.2
1905-04;90.9
1905-05;35.8
1905-06;45.0
1905-07;79.0
1905-08;243.1
1905-09;92.7
1905-10;103.4
1905-11;40.9
1905-12;75.7
1906-01;80.3
1906-02;62.7
1906-03;142.0
1906-04;80.5
1906-05;112.5
1906-06;204.2
1906-07;135.4
1906-08;242.8
1906-09;150.3
1906-10;126.2
1906-11;43.7
1906-12;78.0
1907-01;67.3
1907-02;69.9
1907-03;71.4
1907-04;73.2
1907-05;142.5
1907-06;118.4
1907-07;99.1
1907-08;91.2
1907-09;152.1
1907-10;85.9
1907-11;148.6
1907-12;118.6
1908-01;79.8
1908-02;81.5
1908-03;71.9
1908-04;59.7
1908-05;174.0
1908-06;61.2
1908-07;115.3
1908-08;137.4
1908-09;45.5
1908-10;46.0
1908-11;17.0
1908-12;79.2
1909-01;64.0
1909-02;117.3
1909-03;74.2
1909-04;114.0
1909-05;67.8
1909-06;57.4
1909-07;55.6
1909-08;49.5
1909-09;90.2
1909-10;80.4
1909-11;88.9
1909-12;148.8
1910-01;107.4
1910-02;75.9
1910-03;100.5
1910-04;120.9
1910-05;54.1
1910-06;137.2
1910-07;46.7
1910-08;145.3
1910-09;77.5
1910-10;73.7
1910-11;92.7
1910-12;64.8
1911-01;81.8
1911-02;68.3
1911-03;69.1
1911-04;93.5
1911-05;42.7
1911-06;129.5
1911-07;106.4
1911-08;307.3
1911-09;64.0
1911-10;106.7
1911-11;141.7
1911-12;93.2
1912-01;65.3
1912-02;83.8
1912-03;231.1
1912-04;73.4
1912-05;136.7
1912-06;48.5
1912-07;105.4
1912-08;43.4
1912-09;142.7
1912-10;61.5
1912-11;81.5
1912-12;120.4
1913-01;75.9
1913-02;48.3
1913-03;118.4
1913-04;174.5
1913-05;117.6
1913-06;54.6
1913-07;109.0
1913-08;117.1
1913-09;107.7
1913-10;143.8
1913-11;72.4
1913-12;65.0
1914-01;87.9
1914-02;84.3
1914-03;68.8
1914-04;87.1
1914-05;90.4
1914-06;94.0
1914-07;196.9
1914-08;58.7
1914-09;40.2
1914-10;37.8
1914-11;45.5
1914-12;186.7
1915-01;171.2
1915-02;141.0
1915-03;123.4
1915-04;107.4
1915-05;104.6
1915-06;87.6
1915-07;127.5
1915-08;173.7
1915-09;80.4
1915-10;50.3
1915-11;31.0
1915-12;107.2
1916-01;38.1
1916-02;90.2
1916-03;95.3
1916-04;75.4
1916-05;69.9
1916-06;71.9
1916-07;86.4
1916-08;70.3
1916-09;62.0
1916-10;40.5
1916-11;37.6
1916-12;138.4
1917-01;48.3
1917-02;55.9
1917-03;138.7
1917-04;62.7
1917-05;75.2
1917-06;57.2
1917-07;143.0
1917-08;97.0
1917-09;83.1
1917-10;153.4
1917-11;100.5
1917-12;64.3
1918-01;103.1
1918-02;39.9
1918-03;58.4
1918-04;112.3
1918-05;173.0
1918-06;54.6
1918-07;62.5
1918-08;85.1
1918-09;95.5
1918-10;80.4
1918-11;49.0
1918-12;107.4
1919-01;85.1
1919-02;77.2
1919-03;122.2
1919-04;80.5
1919-05;115.1
1919-06;55.6
1919-07;261.6
1919-08;157.2
1919-09;71.6
1919-10;65.8
1919-11;71.1
1919-12;84.6
1920-01;68.8
1920-02;93.2
1920-03;85.1
1920-04;99.6
1920-05;54.6
1920-06;171.7
1920-07;89.4
1920-08;185.7
1920-09;86.9
1920-10;90.5
1920-11;102.9
1920-12;118.4
1921-01;51.6
1921-02;111.8
1921-03;62.0
1921-04;47.0
1921-05;86.9
1921-06;72.6
1921-07;102.6
1921-08;152.7
1921-09;56.1
1921-10;70.2
1921-11;93.7
1921-12;53.3
1922-01;80.3
1922-02;66.5
1922-03;110.2
1922-04;38.6
1922-05;62.7
1922-06;115.8
1922-07;61.5
1922-08;65.0
1922-09;31.2
1922-10;18.0
1922-11;60.5
1922-12;83.6
1923-01;121.4
1923-02;68.8
1923-03;90.9
1923-04;129.3
1923-05;31.2
1923-06;58.7
1923-07;89.2
1923-08;108.2
1923-09;92.5
1923-10;95.8
1923-11;48.5
1923-12;103.1
1924-01;113.0
1924-02;116.1
1924-03;87.6
1924-04;136.4
1924-05;124.7
1924-06;109.5
1924-07;80.8
1924-08;95.8
1924-09;129.0
1924-10;80.3
1924-11;44.5
1924-12;55.4
1925-01;118.9
1925-02;42.2
1925-03;80.0
1925-04;61.7
1925-05;59.9
1925-06;123.4
1925-07;126.7
1925-08;51.1
1925-09;48.0
1925-10;105.2
1925-11;75.4
1925-12;77.4
1926-01;72.4
1926-02;80.8
1926-03;49.8
1926-04;46.0
1926-05;58.7
1926-06;71.4
1926-07;213.4
1926-08;152.1
1926-09;124.0
1926-10;104.4
1926-11;78.0
1926-12;89.9
1927-01;47.8
1927-02;91.9
1927-03;90.7
1927-04;93.0
1927-05;44.5
1927-06;88.4
1927-07;114.3
1927-08;184.7
1927-09;65.8
1927-10;145.0
1927-11;91.2
1927-12;101.3
1928-01;48.5
1928-02;101.6
1928-03;53.3
1928-04;141.0
1928-05;55.6
1928-06;172.0
1928-07;91.4
1928-08;137.4
1928-09;91.7
1928-10;50.3
1928-11;49.3
1928-12;38.1
1929-01;68.6
1929-02;107.7
1929-03;56.4
1929-04;163.6
1929-05;57.9
1929-06;69.6
1929-07;38.9
1929-08;81.8
1929-09;165.4
1929-10;91.2
1929-11;79.0
1929-12;75.7
1930-01;80.0
1930-02;92.7
1930-03;65.5
1930-04;41.7
1930-05;82.6
1930-06;126.0
1930-07;103.1
1930-08;38.4
1930-09;65.3
1930-10;44.2
1930-11;59.9
1930-12;63.5
1931-01;55.1
1931-02;48.8
1931-03;100.8
1931-04;52.1
1931-05;112.8
1931-06;95.3
1931-07;202.9
1931-08;152.4
1931-09;40.6
1931-10;66.3
1931-11;50.2
1931-12;45.2
1932-01;119.1
1932-02;40.1
1932-03;188.7
1932-04;60.2
1932-05;96.8
1932-06;86.1
1932-07;57.2
1932-08;78.0
1932-09;90.5
1932-10;109.2
1932-11;189.2
1932-12;79.5
1933-01;67.6
1933-02;81.0
1933-03;123.4
1933-04;133.6
1933-05;176.0
1933-06;121.4
1933-07;119.4
1933-08;249.9
1933-09;105.9
1933-10;35.3
1933-11;60.2
1933-12;64.0
1934-01;73.9
1934-02;69.9
1934-03;74.2
1934-04;79.0
1934-05;99.6
1934-06;81.8
1934-07;55.4
1934-08;109.0
1934-09;159.3
1934-10;39.1
1934-11;67.1
1934-12;66.3
1935-01;106.9
1935-02;79.2
1935-03;53.6
1935-04;53.8
1935-05;56.1
1935-06;158.8
1935-07;128.8
1935-08;84.8
1935-09;212.3
1935-10;100.3
1935-11;103.4
1935-12;39.4
1936-01;163.6
1936-02;87.9
1936-03;102.1
1936-04;57.2
1936-05;42.4
1936-06;100.6
1936-07;66.0
1936-08;83.8
1936-09;94.5
1936-10;44.7
1936-11;80.2
1936-12;122.7
1937-01;145.0
1937-02;42.2
1937-03;75.7
1937-04;111.3
1937-05;66.5
1937-06;89.2
1937-07;100.5
1937-08;104.1
1937-09;39.4
1937-10;133.1
1937-11;87.4
1937-12;70.3
1938-01;58.9
1938-02;64.5
1938-03;46.5
1938-04;48.8
1938-05;72.6
1938-06;255.5
1938-07;165.6
1938-08;104.1
1938-09;186.7
1938-10;53.1
1938-11;79.0
1938-12;56.4
1939-01;113.3
1939-02;155.4
1939-03;109.7
1939-04;162.6
1939-05;48.5
1939-06;113.0
1939-07;55.6
1939-08;175.3
1939-09;48.5
1939-10;109.2
1939-11;32.0
1939-12;30.0
1940-01;70.3
1940-02;73.7
1940-03;104.1
1940-04;153.9
1940-05;124.2
1940-06;64.0
1940-07;46.2
1940-08;199.9
1940-09;116.3
1940-10;60.5
1940-11;107.7
1940-12;64.3
1941-01;80.3
1941-02;52.8
1941-03;71.1
1941-04;63.0
1941-05;110.4
1941-06;126.0
1941-07;142.2
1941-08;65.8
1941-09;13.0
1941-10;70.3
1941-11;59.9
1941-12;93.2
1942-01;59.4
1942-02;58.4
1942-03;122.9
1942-04;34.3
1942-05;46.2
1942-06;54.1
1942-07;171.2
1942-08;166.4
1942-09;42.7
1942-10;86.4
1942-11;96.3
1942-12;107.2
1943-01;86.6
1943-02;42.7
1943-03;79.2
1943-04;52.1
1943-05;152.4
1943-06;80.8
1943-07;108.2
1943-08;80.3
1943-09;30.0
1943-10;132.1
1943-11;71.1
1943-12;31.0
1944-01;74.7
1944-02;50.5
1944-03;150.1
1944-04;125.2
1944-05;50.0
1944-06;53.3
1944-07;58.2
1944-08;62.0
1944-09;154.4
1944-10;41.7
1944-11;109.5
1944-12;85.3
1945-01;69.3
1945-02;80.0
1945-03;40.9
1945-04;74.9
1945-05;84.6
1945-06;101.1
1945-07;225.0
1945-08;95.3
1945-09;100.6
1945-10;48.3
1945-11;144.5
1945-12;128.3
1946-01;38.4
1946-02;52.3
1946-03;68.6
1946-04;37.1
1946-05;148.6
1946-06;218.7
1946-07;131.6
1946-08;112.8
1946-09;81.8
1946-10;31.0
1946-11;47.5
1946-12;70.1
1947-01;96.8
1947-02;61.5
1947-03;55.6
1947-04;171.7
1947-05;220.5
1947-06;119.4
1947-07;63.2
1947-08;181.6
1947-09;73.9
1947-10;64.8
1947-11;166.9
1947-12;48.0
1948-01;137.7
1948-02;80.5
1948-03;105.2
1948-04;89.9
1948-05;174.8
1948-06;124.0
1948-07;86.4
1948-08;136.9
1948-09;99.3
1948-10;35.3
1948-11;112.3
1948-12;143.0
1949-01;160.8
1949-02;97.0
1949-03;80.5
1949-04;62.5
1949-05;158.2
1949-06;170.4
1949-07;165.9
1949-08;106.7
1949-09;92.2
1949-10;63.2
1949-11;65.3
1949-12;77.0
1950-01;52.3
1950-02;105.4
1950-03;144.3
1950-04;49.5
1950-05;116.1
1950-06;54.1
1950-07;148.6
1950-08;159.3
1950-09;85.3
1950-10;67.3
1950-11;112.8
1950-12;59.4
